Name,Street,Block,Building,PostalCode,Status,Description,PhotoURL,Latitude,Longitude
Telok Blangah Rise Blk 36 (Telok Blangah Rise Market),Telok Blangah Rise,36,,090036,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267858653663.jpg,1.272715797,103.8221173
Tiong Bahru Market,Seng Poh Road,30,,168898,Existing,HUP Rebuilding,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156378375.jpg,1.285088258,103.8323488
Toa Payoh Lorong 1 Blk 127 (Toa Payoh West Market and Food Court),Lorong 1 Toa Payoh,127,,310127,Existing,HUP Reconfiguration,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154499803.jpg,1.338092686,103.8447316
Toa Payoh Lorong 4 Blk 74 (Toa Payoh Vista Market),Lorong 4 Toa Payoh,74,,310074,Existing,HUP Reconfiguration,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262226848493.jpg,1.334548165,103.8519991
Toa Payoh Lorong 4 Blk 93,Lorong 4 Toa Payoh,93,,310093,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154305312.jpg,1.338474752,103.8495135
Toa Payoh Lorong 5 Blk 75,Lorong 5 Toa Payoh,75,,310075,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267878144152.jpg,1.336038822,103.8529416
Toa Payoh Lorong 7 Blk 22 (Kim Keat Palm Market and Food Centre),Lorong 7 Toa Payoh,22,,310022,Existing,HUP Reconfiguration,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265168256123.jpg,1.335231459,103.857036
Toa Payoh Lorong 8 Blk 210,Lorong 8 Toa Payoh,210,,310210,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267876959422.jpg,1.340260835,103.8543953
Upper Boon Keng Road Blk 17 (Blk 17 Upper Boon Keng Market and Food Centre),Upper Boon Keng Road,17,,380017,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262226056435.jpg,1.315028044,103.8716203
Upper Cross Street Blk 531A (Hong Lim Food Centre and Market),Upper Cross Street,531A,,051531,Existing,HUP Reconfiguration,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267878882405.jpg,1.2852464,103.8458189
West Coast Drive Blk 502 (Ayer Rajah Market),West Coast Drive,502,,120502,Existing,Not eligible for HUP,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265168297394.jpg,1.311889721,103.7591661
West Coast Drive Blk 503 (Ayer Rajah Food Centre),West Coast Drive,503,,120503,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265168322420.jpg,1.31180301,103.7597513
Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre),Whampoa Drive,90,,320090,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154207158.jpg,1.322943062,103.8551377
Whampoa Drive Blk 91/92 (Whampoa Drive Makan Place/Whampoa Market),Whampoa Drive,91/92,,320091,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154257763.jpg,1.323421751,103.8540681
Yishun Park Hawker Centre,Yishun Avenue 11,51,Yishun Park Hawker Centre,768867,Existing (new),New Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/yishun-hawker-centre.jpg,1.425017638,103.8447476
Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),Yishun Ring Road,104/105,,760104,Existing,HUP Standard Upgrading,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267438077554.jpg,1.431447688,103.8285376
